,id,address_v4,asn_v4,prefix_v4,address_v6,asn_v6,prefix_v6,country,status,is_public,latitude,longitude,description
438,51076,-,39551,83.247.144.0/24,-,-,-,es,Abandoned,No,41.3505,2.1205,CTTI Probe
439,51265,79.150.158.173,3352,79.150.0.0/16,-,-,-,es,Connected,Yes,39.8495,3.0905,Alcudia
440,52020,-,-,-,-,-,-,es,Never Connected,No,39.9875,-0.0715,-
441,52162,88.1.128.155,3352,88.1.0.0/16,-,-,-,es,Abandoned,Yes,40.7485,-3.5995,AS3352 Probe v4
442,52511,88.8.119.252,3352,88.8.0.0/16,-,-,-,es,Connected,Yes,28.6775,-17.7725,HomeLab Probe
443,52746,-,766,138.4.0.0/16,-,766,2001:720::/32,es,Connected,No,40.4505,-3.7305,-
444,52897,-,34285,217.12.24.0/24,-,-,-,es,Connected,No,37.3905,-5.9785,Sonda RIPE RCJA
445,52969,185.49.156.25,200030,185.49.156.0/22,-,-,-,es,Connected,Yes,38.0715,-0.7495,ATLAS at local ISP
446,53229,-,3352,83.52.0.0/16,-,-,-,es,Connected,No,42.6115,-5.5915,FloProbe
447,53240,195.140.157.179,15450,195.140.157.0/24,-,-,-,es,Connected,Yes,40.4375,-3.6305,ALHAMBRA SYSTEMS
448,53322,93.176.185.146,15704,93.176.176.0/20,-,-,-,es,Abandoned,Yes,41.3985,2.1685,Tux-home
449,53339,193.254.37.203,198760,193.254.37.0/24,-,-,-,es,Abandoned,Yes,39.7315,-0.2615,-
450,53380,-,3352,2.139.0.0/16,-,-,-,es,Connected,No,40.4175,-3.6885,-
451,53386,92.189.11.204,12479,92.189.8.0/21,-,-,-,es,Disconnected,Yes,40.4905,-3.8785,Probe casa Edu
452,53390,84.124.244.88,6739,84.124.0.0/16,-,-,-,es,Connected,Yes,39.4675,-0.3785,Valencia
453,53456,79.116.55.25,57269,79.116.0.0/15,2a0c:5a84:e806:e00:1:d1ff:fe0d:5faf,57269,2a0c:5a80::/29,es,Connected,Yes,41.5605,2.0095,casa.cmos486.es
454,53528,-,12479,92.176.0.0/20,-,-,-,es,Connected,No,42.4315,-8.6415,Diferentec
455,53679,-,60609,185.77.158.0/24,-,-,-,es,Abandoned,No,40.8915,0.8005,-
456,53761,-,57269,79.116.0.0/15,-,57269,2a0c:5a80::/29,es,Connected,No,40.3275,-3.7795,-
457,53792,-,206404,185.187.68.0/22,-,-,-,es,Connected,No,40.8285,0.5115,-
458,54586,-,12430,62.174.128.0/17,-,-,-,es,Abandoned,No,40.4605,-3.7485,TEST1
459,54639,92.177.136.20,12479,92.177.136.0/22,-,-,-,es,Connected,Yes,28.6815,-17.7615,-
460,54656,88.9.33.70,3352,88.9.0.0/16,fd7c:63:9087:1:1:85ff:fe9c:5dcd,-,-,es,Abandoned,Yes,40.5005,-3.8805,-
461,55020,80.30.54.243,3352,80.30.0.0/16,-,-,-,es,Abandoned,Yes,41.5975,2.6185,Guadalupe Probe
462,55118,37.152.93.46,57910,37.152.93.0/24,-,-,-,es,Abandoned,Yes,39.5715,3.1975,SCIP Probe
463,55263,207.188.171.179,15704,207.188.168.0/21,-,-,-,es,Connected,Yes,41.3785,2.1705,"AS15704 - Spain, Barcelona, Ra"
464,55346,92.191.169.6,12479,92.191.168.0/22,-,-,-,es,Connected,Yes,40.4205,-3.7105,-
465,55420,86.127.237.86,57269,86.127.224.0/19,-,-,-,es,Connected,Yes,41.4975,2.0385,-
466,55502,84.88.154.76,13041,84.88.0.0/16,-,-,-,es,Abandoned,Yes,41.9785,2.8175,Universitat de Girona
467,55661,83.55.226.206,3352,83.55.0.0/16,-,-,-,es,Connected,Yes,40.9475,-5.6595,ALOJALIA SAL1
468,55787,79.152.112.253,3352,79.152.0.0/16,-,-,-,es,Connected,Yes,41.4105,2.1615,ekesken-home
469,60032,212.237.255.3,201153,212.237.255.0/24,-,-,-,es,Disconnected,Yes,38.7485,-0.5715,Mariola Secreta
470,60061,188.26.212.132,57269,188.26.208.0/21,2a0c:5a81:b106:ab00:da58:d7ff:fe03:77f,57269,2a0c:5a80::/29,es,Connected,Yes,40.4575,-3.7095,Sonda Madrid Franco Rodriguez
471,60133,92.185.50.153,12479,92.185.48.0/21,fd00::da58:d7ff:fe03:6bf,-,-,es,Connected,Yes,38.3585,-0.4215,-
472,60135,62.82.116.219,6739,62.82.0.0/16,-,-,-,es,Connected,Yes,27.8995,-15.7315,Casa La Cardonera
473,60319,185.50.0.3,60273,185.50.0.0/22,-,-,-,es,Connected,Yes,41.8515,3.0975,-
474,60454,-,3352,83.43.0.0/16,-,-,-,es,Connected,No,40.8095,0.5195,LA PRIMERA
475,60464,212.64.160.7,12540,212.64.160.0/19,-,-,-,es,Connected,Yes,28.1195,-15.4295,DataCenter JXXIII probe
476,60494,83.61.250.94,3352,83.61.0.0/16,2a02:9140:5100:100:da58:d7ff:fe03:717,3352,2a02:9000::/23,es,Connected,Yes,40.2495,-3.8285,Casa Humanes
477,60555,-,15704,93.176.176.0/20,-,-,-,es,Connected,No,41.3895,2.1695,-
478,60561,79.146.79.85,3352,79.146.0.0/16,-,-,-,es,Connected,Yes,40.2975,-3.8395,House probe
479,60589,193.84.93.10,209910,193.84.93.0/24,-,-,-,es,Connected,Yes,38.1215,-1.2885,Archena Mapeka
480,60610,185.105.38.144,57269,185.105.36.0/22,2a0c:5a80:c30c:1700:da58:d7ff:fe03:6d6,57269,2a0c:5a80::/29,es,Connected,Yes,40.3075,-3.7325,-
481,60629,139.47.58.40,15704,139.47.56.0/21,-,-,-,es,Connected,Yes,42.3615,-2.4815,Home
482,60653,91.117.120.198,12334,91.117.64.0/18,-,-,-,es,Disconnected,Yes,42.6485,-8.8805,-
483,60662,-,3352,88.26.0.0/16,-,-,-,es,Disconnected,No,40.4185,-3.6995,starlabs-probe
484,60668,-,-,-,-,-,-,es,Never Connected,Yes,40.4015,-3.6095,-
485,60741,-,205580,185.209.100.0/24,-,-,-,es,Connected,No,42.2375,-8.7205,-
486,60780,62.97.70.109,8220,62.97.64.0/18,-,-,-,es,Connected,Yes,40.4175,-3.6985,Probe #60780
487,60900,83.48.37.217,3352,83.48.0.0/16,-,-,-,es,Connected,Yes,40.3275,-3.7525,AT
488,60944,207.188.171.179,15704,207.188.168.0/21,-,-,-,es,Connected,Yes,41.3795,2.1695,"AS15704 - Spain, Barcelona, Ra"
489,61019,212.81.204.129,3262,212.81.128.0/17,2a03:c600:c028:101:da58:d7ff:fe03:a18,3262,2a03:c600::/32,es,Connected,Yes,43.2815,-2.0125,IBD Probe
490,61052,-,207026,185.168.104.0/22,-,-,-,es,Connected,No,41.9985,2.2795,QUOPIAM-MANLLEU
491,61201,185.59.67.186,56882,185.59.67.0/24,-,-,-,es,Connected,Yes,42.4575,-2.4625,RIPE PROBE1 - LCR
492,61357,81.32.64.14,3352,81.32.0.0/16,-,-,-,es,Connected,Yes,43.3105,-5.7005,LlangrÃ©u
493,61456,-,3352,83.54.0.0/16,-,-,-,es,Connected,No,43.3905,-5.8205,Oviedo Probe
494,61476,83.173.142.55,6739,83.173.128.0/18,-,-,-,es,Connected,Yes,42.4605,-2.4595,RIPE PROBE2 - Vodafone
495,61498,145.224.124.35,14593,145.224.124.0/22,-,-,-,es,Disconnected,Yes,40.4215,-3.6885,-
496,61531,85.55.215.60,12479,85.55.214.0/23,-,-,-,es,Connected,Yes,40.3375,-3.8515,Mi sonda RIPE de AlcorcÃ³n
497,61547,83.36.242.55,3352,83.36.0.0/16,-,-,-,es,Connected,Yes,39.9705,-4.8305,SONDA RIPE ATLAS
