,id,address_v4,asn_v4,prefix_v4,address_v6,asn_v6,prefix_v6,country,status,is_public,latitude,longitude,description,Seconds_disconnected,Days_disconnected
67,6604,31.47.76.181,15954,31.47.72.0/21,2a01:a940:445:d::1,15954,2a01:a940::/32,es,Connected,Yes,40.4895,-3.6925,"TecnocrÃ¡tica Centro de Datos,",0,0
68,6668,92.38.171.55,202422,92.38.171.0/24,2a03:90c0:246::2e,199524,2a03:90c0:240::/44,es,Connected,Yes,40.5815,-3.5795,G-Core Labs S.A.,0,0
69,6687,147.84.200.125,39069,147.84.0.0/16,-,-,-,es,Connected,Yes,37.9905,-1.1285,CARM - Comunidad AutÃ³noma de M,0,0
71,6819,185.22.200.38,197712,185.22.200.0/22,-,-,-,es,Disconnected,Yes,41.3515,2.1375,10dencehispahard SL,3001168,34
72,6926,194.156.155.241,48386,194.156.155.0/24,2a0d:5642:113:201:5054:ff:fe7c:cc09,48386,2a0d:5642:113::/48,es,Connected,Yes,40.4405,-3.6215,"Misaka Network, Inc.",0,0
73,6980,156.154.79.254,12008,156.154.79.0/24,2610:a1:3034:252::254,12008,2610:a1:3034::/48,es,Connected,Yes,40.4475,-3.5685,Neustar,0,0
74,7017,82.98.154.62,42612,82.98.128.0/18,2a02:be8:3:200:216:3eff:fe7b:2391,42612,2a02:be8::/32,es,Connected,Yes,40.4405,-3.6225,Dinahosting S.L.,0,0
75,7086,37.46.78.66,15699,37.46.72.0/21,2a00:6640:e:101::a,15699,2a00:6640::/32,es,Connected,Yes,40.5105,-3.3385,"Adam Ecotech, S.A.",0,0
76,7089,94.24.115.154,15699,94.24.112.0/20,2a01:1c8:e:101::a,15699,2a01:1c8::/32,es,Connected,Yes,41.4915,2.1215,"Adam Ecotech, S.A.",0,0
81,10237,110.93.9.201,35699,110.93.8.0/22,-,-,-,es,Connected,Yes,41.3905,2.1685,Hemma BCN,0,0
85,10836,213.162.201.210,13287,213.162.200.0/22,2a02:23a0:1111:14::2,13287,2a02:23a0::/32,es,Connected,Yes,39.5205,-0.4715,NIXVAL IP v3 R5,0,0
89,11124,79.116.129.148,57269,79.116.0.0/15,2a0c:5a80:390d:5200:fa1a:67ff:fe4d:88d9,57269,2a0c:5a80::/29,es,Connected,Yes,28.0095,-16.6515,Elmi's home probe TF,0,0
92,11600,217.14.37.6,30892,217.14.32.0/20,2a02:aa8:0:2001:fa1a:67ff:fe4d:82e0,30892,2a02:aa8::/29,es,Connected,Yes,41.4775,2.1075,DTGBSI-CRD,0,0
93,11602,217.14.37.38,30892,217.14.32.0/20,2a02:aa8:0:2000:fa1a:67ff:fe4d:87ce,30892,2a02:aa8::/29,es,Connected,Yes,41.3985,2.1875,DTGBSI-22A,0,0
96,11749,84.88.81.123,13041,84.88.0.0/16,-,-,-,es,Connected,Yes,41.3915,2.1095,-,0,0
107,12170,217.18.40.3,15954,217.18.32.0/20,2a01:a940:7766:0:fa1a:67ff:fe4d:6fee,15954,2a01:a940::/32,es,Connected,Yes,40.4875,-3.6895,Salvatierra,0,0
