,id,address_v4,asn_v4,prefix_v4,address_v6,asn_v6,prefix_v6,country,status,is_public,latitude,longitude,description,Seconds_disconnected,Days_disconnected
270,10035,45.143.83.72,47583,45.143.83.0/24,2a02:4780:13:c0de::12,47583,2a02:4780:13::/48,br,Connected,Yes,-23.4925,-46.7795,-,0,0
271,10035,45.143.83.73,47583,45.143.83.0/24,2a02:4780:13:c0de::13,47583,2a02:4780:13::/48,br,Connected,Yes,-23.4915,-46.7795,-,0,0
272,10035,45.143.83.74,47583,45.143.83.0/24,2a02:4780:13:c0de::14,47583,2a02:4780:13::/48,br,Connected,Yes,-23.4915,-46.7795,-,0,0
273,10035,45.143.83.75,47583,45.143.83.0/24,2a02:4780:13:c0de::15,47583,2a02:4780:13::/48,br,Connected,Yes,-23.4905,-46.7795,-,0,0
274,10035,45.143.83.76,47583,45.143.83.0/24,2a02:4780:13:c0de::16,47583,2a02:4780:13::/48,br,Connected,Yes,-23.4905,-46.7795,-,0,0
275,10035,45.143.83.77,47583,45.143.83.0/24,2a02:4780:13:c0de::17,47583,2a02:4780:13::/48,br,Connected,Yes,-23.4895,-46.7795,-,0,0
276,10035,45.143.83.78,47583,45.143.83.0/24,2a02:4780:13:c0de::18,47583,2a02:4780:13::/48,br,Connected,Yes,-23.4895,-46.7795,-,0,0
277,10035,45.143.83.79,47583,45.143.83.0/24,2a02:4780:13:c0de::19,47583,2a02:4780:13::/48,br,Connected,Yes,-23.4885,-46.7795,-,0,0
279,10037,179.189.67.243,52610,179.189.64.0/21,2804:378:8099:6c00:38c3:822f:1b9c:3977,28283,2804:378::/32,br,Connected,Yes,-28.8525,-51.2795,Adylnet Fiber,0,0
280,10038,168.181.202.20,265344,168.181.202.0/24,2804:2e68:13:67f0:689c:d017:4f23:36dd,265344,2804:2e68::/34,br,Disconnected,Yes,-3.8205,-38.4725,-,149406115,1729
281,10040,181.215.183.179,61317,181.215.183.0/24,2803:80:8001:23c::1,61317,2803:80:8001::/48,br,Connected,Yes,-22.8315,-43.2215,Heficed BR,0,0
284,10042,43.135.201.233,132203,43.135.192.0/19,-,-,-,br,Connected,Yes,-23.5295,-46.6395,-,0,0
285,10044,20.226.13.250,8075,20.192.0.0/10,-,-,-,br,Connected,Yes,-22.8995,-47.0615,-,0,0
286,10045,177.55.140.246,53003,177.55.140.0/24,-,-,-,br,Connected,Yes,-22.3205,-46.8925,Evolunet,0,0
287,10045,186.223.26.244,28573,186.223.0.0/17,2804:14c:3bc3:c05:223:69ff:fec6:b1ce,28573,2804:14c:3bc3::/48,br,Connected,Yes,-22.3515,-46.9515,Claro NET Virtua,0,0
288,10045,152.67.62.6,31898,152.67.32.0/19,2603:c021:c000:b33f:498c:be33:37a0:b478,31898,2603:c021:c000::/3,br,Connected,Yes,-23.5325,-46.6395,-,0,0
289,10046,104.28.243.50,13335,104.28.243.0/24,-,-,-,br,Disconnected,Yes,-23.5385,-46.5785,Cloudflare WARP,3,0
290,10047,177.92.115.234,17222,177.92.112.0/21,-,-,-,br,Disconnected,Yes,-23.6325,-46.6405,Casa SP,74052002,857
291,10047,144.22.243.5,31898,144.22.224.0/19,2603:c021:c003:2e00::1111,31898,2603:c021:c000::/3,br,Connected,Yes,-23.5315,-46.6385,Oracle Cloud Sao Paulo - Free,0,0
293,10049,200.132.1.60,2716,200.132.0.0/16,-,-,-,br,Disconnected,Yes,-30.0415,-51.2185,-,313734778,3631
294,10049,128.201.2.187,263405,128.201.2.0/24,2804:15b4:200:5ba1:5c2c:a866:f0d:c976,263405,2804:15b4::/32,br,Connected,Yes,-19.5605,-42.5985,Vero/Giganet - TimÃ³teo - MG,0,0
295,10049,187.33.28.50,16397,187.33.28.0/24,-,-,-,br,Connected,Yes,-23.4615,-46.8685,Probe on docker on VM on Equin,0,0
296,10052,177.75.48.180,262588,177.75.48.0/24,2804:2904:1::32,262588,2804:2904::/32,br,Connected,Yes,-16.3295,-48.9485,-,0,0
297,10053,179.211.245.241,28573,179.211.240.0/21,-,-,-,br,Connected,Yes,-29.1695,-51.5215,Net Claro HFC,0,0
298,10053,138.59.48.102,264597,138.59.48.0/24,-,-,-,br,Connected,Yes,-29.1695,-51.5115,Viasul,0,0
299,10053,177.92.115.234,17222,177.92.112.0/21,-,-,-,br,Connected,Yes,-23.6305,-46.6395,Home SP,0,0
301,10056,43.157.137.175,132203,43.157.128.0/18,-,-,-,br,Connected,Yes,-23.5305,-46.6425,-,0,0
