,id,address_v4,asn_v4,prefix_v4,address_v6,asn_v6,prefix_v6,country,status,is_public,latitude,longitude,description,Seconds_disconnected,Days_disconnected
429,4150,95.90.192.99,3209,95.88.0.0/14,2a02:810d:15c0:b80:220:4aff:fee0:20c3,3209,2a02:8100::/27,de,Connected,Yes,48.1875,11.6195,Freimann,0,0
433,4180,95.90.194.108,3209,95.88.0.0/14,2a02:810d:780:2faa:220:4aff:fee0:1fff,3209,2a02:8100::/27,de,Connected,Yes,47.7275,10.3215,Kabel Deutschland 32Mbit,0,0
434,4182,89.247.108.22,8881,89.247.96.0/20,2001:9e8:2264:a900:280:a3ff:fe91:38a4,8881,2001:9e8:2000::/35,de,Disconnected,Yes,49.8585,8.6615,-,807408,9
438,4217,62.91.33.99,20686,62.91.0.0/16,fd00::280:a3ff:fe91:44b1,-,-,de,Connected,Yes,49.9005,11.1075,derBit.de 1,0,0
440,4223,217.236.50.2,3320,217.224.0.0/11,2003:c3:8725:ac00:280:a3ff:fe91:42ea,3320,2003::/19,de,Disconnected,Yes,49.4885,8.4685,-,4586727,53
442,4243,87.147.148.62,3320,87.128.0.0/10,2003:e5:3f10:bb64:280:a3ff:fe91:42f6,3320,2003::/19,de,Connected,Yes,49.8685,8.6495,Chaos Darmstadt,0,0
446,4251,78.42.13.251,3209,78.42.0.0/16,-,-,-,de,Connected,Yes,49.4175,8.5295,home,0,0
448,4258,92.116.206.133,8881,92.116.192.0/19,2001:9e8:8d7c:c800:280:a3ff:fe91:42fa,8881,2001:9e8:8000::/35,de,Connected,Yes,49.4815,8.4595,1und1 Internet,0,0
449,4259,213.240.178.46,8820,213.240.176.0/20,fd00::280:a3ff:fe91:43a4,-,-,de,Connected,Yes,48.1915,11.7695,-,0,0
450,4260,80.128.54.95,3320,80.128.0.0/12,2003:cc:7f1e:b901:280:a3ff:fe91:43fd,3320,2003::/19,de,Connected,Yes,49.5075,8.5005,"RaumZeitLabor, Mannheim, DE",0,0
451,4267,31.13.168.44,196819,31.13.168.0/23,-,-,-,de,Connected,Yes,49.4605,7.8105,DEMANDO GmbH,0,0
452,4270,193.174.241.224,680,193.174.0.0/15,-,-,-,de,Connected,Yes,53.5675,10.0305,HfbK,0,0
464,4332,93.208.99.179,3320,93.192.0.0/10,2003:c5:af0e:e700:280:a3ff:fe91:3b9c,3320,2003::/19,de,Disconnected,Yes,47.6685,8.0385,-,525965,6
467,4344,84.191.84.58,3320,84.128.0.0/10,2003:c9:d70e:b100:280:a3ff:fe91:3e73,3320,2003::/19,de,Connected,Yes,49.3395,8.6695,MLS-Leimen,0,0
484,4419,92.116.220.208,8881,92.116.192.0/19,2001:470:1f0b:9bb:280:a3ff:fe91:98c,6939,2001:470::/32,de,Connected,Yes,48.0915,11.4975,@derchris 1&1 250Mbit down / 4,0,0
494,4463,87.144.181.195,3320,87.128.0.0/10,2003:ee:af0b:76d5:280:a3ff:fe91:3897,3320,2003::/19,de,Connected,Yes,48.1385,11.5805,Munich goes Atlas,0,0
497,4482,193.7.176.183,39702,193.7.176.0/21,2001:678:cac:176::4482,39702,2001:678:cac::/48,de,Connected,Yes,48.6785,8.9715,Bawue.Net e.V.,0,0
501,4526,78.35.178.248,8422,78.34.0.0/15,2001:4dd7:e751:0:280:a3ff:fe91:4139,8422,2001:4dd0::/29,de,Connected,Yes,50.7305,7.0885,iffy,0,0
502,4531,79.225.186.158,3320,79.192.0.0/10,2003:cd:ef0c:1e00:280:a3ff:fe91:4273,3320,2003::/19,de,Connected,Yes,52.5175,13.4685,-,0,0
503,4533,84.186.223.50,3320,84.128.0.0/10,2003:e4:9700:2d00:280:a3ff:fe91:3be6,3320,2003::/19,de,Connected,Yes,53.0985,8.8385,-,0,0
508,4575,31.209.93.135,50629,31.209.80.0/20,2001:1a80:303b:0:280:a3ff:fe91:3b2d,20676,2001:1a80::/29,de,Connected,Yes,53.0795,8.8105,Hackerspace Bremen e.V.,0,0
511,4580,89.245.196.188,8881,89.245.192.0/19,2001:9e8:18d6:1f00:280:a3ff:fe91:4267,8881,2001:9e8::/35,de,Connected,Yes,52.5175,13.4115,-,0,0
519,4615,185.6.254.136,35258,185.6.252.0/22,2a00:e400:1000:1002:280:a3ff:fe91:4124,35258,2a00:e400::/29,de,Connected,Yes,53.6095,10.0175,akq-ham01,0,0
523,4649,79.99.96.10,44156,79.99.96.0/21,-,-,-,de,Connected,Yes,50.8115,6.2495,-,0,0
525,4653,84.160.8.27,3320,84.128.0.0/10,2003:c6:2f18:7401:280:a3ff:fe91:3afd,3320,2003::/19,de,Connected,Yes,48.7185,8.9095,T-DSL (ADSL2) BÃ¶blingen,0,0
529,4669,-,-,-,2a01:41e1:60e2:3300:280:a3ff:fe91:44b7,62336,2a01:41e1::/32,de,Connected,Yes,53.6915,10.2405,Schlossmedia Ahrensburg,0,0
532,4715,195.52.149.161,12312,195.52.0.0/16,2001:4091:a245:801e:280:a3ff:fe91:476f,12312,2001:4091::/32,de,Disconnected,Yes,52.5295,13.3575,4715 V2 probe,4842378,56
536,4740,84.181.173.47,3320,84.128.0.0/10,2003:ec:6f1e:1700:280:a3ff:fe91:4327,3320,2003::/19,de,Connected,Yes,49.4275,11.5395,-,0,0
537,4741,37.60.3.99,198570,37.60.3.0/24,-,-,-,de,Connected,Yes,49.8975,10.8795,-,0,0
541,4781,5.147.85.17,3209,5.147.0.0/16,2a02:908:1c4:d00:280:a3ff:fe91:38a0,3209,2a02:908::/33,de,Connected,Yes,50.0775,8.6215,-,0,0
546,4799,93.234.25.13,3320,93.192.0.0/10,2003:f1:cf02:2400:220:4aff:fee0:22b3,3320,2003::/19,de,Connected,Yes,50.8415,12.9415,Nerdliche HemisphÃ¤re,0,0
554,4873,212.82.32.38,9067,212.82.32.0/21,-,-,-,de,Connected,Yes,49.2285,6.9905,-,0,0
556,4879,212.53.246.29,62336,212.53.240.0/20,fdac:1f79:75e9:1025:280:a3ff:fe91:438d,-,-,de,Connected,Yes,54.8715,8.9005,Stadtwerke Flensburg Fiber 200,0,0
557,4943,5.146.209.61,3209,5.146.0.0/16,-,-,-,de,Connected,Yes,51.0885,6.8895,-,0,0
558,4999,195.52.149.161,12312,195.52.0.0/16,2001:4091:a245:801e:280:a3ff:fe91:4861,12312,2001:4091::/32,de,Disconnected,Yes,52.6415,13.5015,4999,4842605,56
569,6081,194.150.191.46,33988,194.150.191.0/24,2001:67c:14c:12f::46,33988,2001:67c:14c::/48,de,Connected,Yes,49.4275,11.0215,teamix GmbH,0,0
572,6117,185.27.158.238,20647,185.27.156.0/22,2a02:f28:1:7::2,20647,2a02:f28::/32,de,Connected,Yes,52.5205,13.3975,CarrierColo / IPB GmbH,0,0
584,6202,134.169.3.165,680,134.169.0.0/16,2001:638:602::20:2,680,2001:638::/32,de,Connected,Yes,52.2785,10.5375,"TU Braunschweig, GauÃŸ-IT-Zentr",0,0
586,6213,213.9.97.164,12676,213.9.0.0/17,2a02:4c00:0:4014::2,12676,2a02:4c00::/40,de,Connected,Yes,51.2285,6.7675,HKN GmbH,0,0
588,6239,213.128.137.33,12731,213.128.128.0/19,2001:868:100:3401::4,12731,2001:868::/29,de,Connected,Yes,53.5515,10.0485,IPHH Internet Port Hamburg Gmb,0,0
589,6246,37.44.1.36,25291,37.44.0.0/21,2a00:7fc0:4000:16::4,25291,2a00:7fc0::/33,de,Connected,Yes,52.5005,13.3695,SysEleven GmbH,0,0
590,6250,212.227.112.66,8560,212.227.0.0/16,2001:8d8:0:3::2e,8560,2001:8d8::/32,de,Connected,Yes,48.9975,8.3895,1&1 Internet SE,0,0
591,6272,185.181.224.13,206549,185.181.224.0/22,2a0a:d480:1:1::200,206549,2a0a:d480::/29,de,Connected,Yes,48.0585,11.5605,RTL2 Fernsehen GmbH & Co. KG,0,0
