,id,address_v4,asn_v4,prefix_v4,address_v6,asn_v6,prefix_v6,country,status,is_public,latitude,longitude,description,lastWeekOn,lastMonthOn,allTimeOn,Seconds_disconnected,Days_disconnected
251,21537,2.137.22.14,3352,2.137.0.0/16,fd86:2520:8e6b:4840:eade:27ff:fe69:d1e2,-,-,es,Connected,Yes,28.0905,-16.7215,MOVISTAR FTTH - Tenerife Sur -,1.0,1.0,0.9547,0,0
252,21570,88.148.103.97,29119,88.148.96.0/21,-,-,-,es,Connected,Yes,37.3475,-5.2295,FuenLan.es,0.9897,0.9974,0.9958,0,0
258,22291,185.84.116.3,41397,185.84.116.0/22,-,-,-,es,Connected,Yes,41.6475,-0.8885,probe.aragon.net,0.9979,0.9995,0.5589,0,0
259,22309,83.32.17.26,3352,83.32.0.0/16,2001:470:1f13:d68:eade:27ff:fe69:c6a2,6939,2001:470::/32,es,Disconnected,Yes,40.4015,-3.7225,-,0.0,0.1727,0.6452,2142416,24
260,22338,79.116.24.56,57269,79.116.0.0/15,-,-,-,es,Connected,Yes,40.4815,-3.6315,GonDors,0.9995999999999999,0.9776,0.8554,0,0
262,22806,185.132.136.69,203457,185.132.136.0/23,-,-,-,es,Connected,Yes,41.2805,1.9875,ICFO,0.9984999999999999,0.9995999999999999,0.9701000000000001,0,0
269,23267,176.58.8.10,57656,176.58.8.0/24,2a0a:7dc0:100:0:176:58:8:10,57656,2a0a:7dc0::/29,es,Connected,Yes,42.1705,-8.6895,ALTIA-probe,1.0,0.9997,0.5889,0,0
270,23268,194.143.201.28,8311,194.143.200.0/21,-,-,-,es,Connected,Yes,41.6515,-0.8895,atlas.zgz.redestel.net,0.9987,0.9997,0.8538,0,0
272,23318,185.6.6.222,199652,185.6.6.0/24,-,-,-,es,Connected,Yes,38.8515,0.0075,Vergel,1.0,0.9995999999999999,0.9981,0,0
277,23581,185.107.160.40,203641,185.107.160.0/24,-,-,-,es,Connected,Yes,37.5375,-6.0585,Guillena WiFi,1.0,0.9998999999999999,0.8353,0,0
281,23685,212.81.180.210,3262,212.81.128.0/17,2a03:c600:c023:104:16cc:20ff:fef8:8be8,3262,2a03:c600::/32,es,Connected,Yes,41.3895,2.2015,"Barcelona MAPFRE Tower, ExoCli",1.0,0.9983,0.9137000000000001,0,0
282,23686,90.161.204.253,12479,90.160.0.0/12,2001:470:7855:effe:16cc:20ff:fef8:8c36,6939,2001:470::/32,es,Connected,Yes,36.7205,-4.3785,GSSI CASA,0.9995,0.9994,0.9495999999999999,0,0
292,24086,2.136.155.30,3352,2.136.0.0/16,-,-,-,es,Disconnected,Yes,40.4905,-3.6885,MEYTEL-LEZ,0.0,0.0,0.907,3817440,44
299,24385,212.92.38.85,24592,212.92.32.0/20,-,-,-,es,Connected,Yes,41.3895,2.1715,NEXICA,1.0,0.9995999999999999,0.26899999999999996,0,0
316,26072,79.145.122.135,3352,79.145.0.0/16,-,-,-,es,Connected,Yes,36.6185,-4.5095,-,1.0,0.9998,0.8908,0,0
317,26619,79.116.210.163,57269,79.116.0.0/15,2a0c:5a84:e80f:ae00:c66e:1fff:fe3a:dfb6,57269,2a0c:5a80::/29,es,Connected,Yes,41.3815,2.1375,CFL - Connection,0.32799999999999996,0.7968999999999999,0.2588,0,0
