,id,address_v4,asn_v4,prefix_v4,address_v6,asn_v6,prefix_v6,country,status,is_public,latitude,longitude,description,lastWeekOn,lastMonthOn,allTimeOn,Seconds_disconnected,Days_disconnected
323,27073,188.127.180.208,15704,188.127.160.0/19,-,-,-,es,Connected,Yes,40.3385,-3.7495,ZARZAQUEMADA,0.9961,0.9945999999999999,0.6313,0,0
324,27076,86.127.238.254,57269,86.127.224.0/19,2a0c:5a80:f109:9600:c66e:1fff:fe5b:ef26,57269,2a0c:5a80::/29,es,Connected,Yes,40.3405,-3.7795,POZADELAGUA,1.0,1.0,0.6077,0,0
328,27388,45.13.200.251,200845,45.13.200.0/22,-,-,-,es,Connected,Yes,36.5015,-4.7185,MÃ¼ller,0.10439999999999999,0.024399999999999998,0.9211,0,0
334,28761,185.123.204.47,5505,185.123.204.0/24,2a03:9320::20,5505,2a03:9320::/32,es,Disconnected,Yes,39.5175,-0.4695,VADAVO (VALENCIA) - AS5505,0.0,0.0,0.9712999999999999,6007163,69
337,29333,83.55.33.252,3352,83.55.0.0/16,-,-,-,es,Disconnected,Yes,40.9485,-5.6615,ALOJALIA SAL-HOME2,0.0,0.0,0.8979,5109106,59
341,29725,185.161.96.245,205697,185.161.96.0/24,2a0b:ef00::96:245,205697,2a0b:ef00::/32,es,Disconnected,Yes,40.4395,-3.6215,ALOJALIA CPD1,0.0,0.0,0.6481999999999999,12393395,143
343,29823,89.38.19.122,34977,89.38.19.0/24,fd8b:3633:b3f5:0:ee08:6bff:fe73:40d6,-,-,es,Connected,Yes,39.4885,-0.3615,-,0.9981,0.9995,0.9287000000000001,0,0
344,30039,81.35.58.7,3352,81.35.0.0/16,-,-,-,es,Connected,Yes,40.6115,-3.5415,JPC HQ Probe 1 (TE),0.9974,0.9976999999999999,0.8184,0,0
352,30313,185.67.112.141,59908,185.67.112.0/22,-,-,-,es,Connected,Yes,39.4385,-0.3725,BalaLink probe at Islalink FSL,0.9986,0.9995,0.30210000000000004,0,0
354,30356,81.35.58.7,3352,81.35.0.0/16,-,-,-,es,Connected,Yes,40.6005,-3.5005,JPC HQ Probe 2 (Vodafone),0.9992,0.9979,0.3986,0,0
355,30381,83.51.63.181,3352,83.51.0.0/16,-,-,-,es,Connected,Yes,41.3775,2.1415,CFL - Parents House,1.0,0.9997,0.5487,0,0
357,30392,81.34.81.13,3352,81.34.0.0/16,fd8d:b48c:7bd0:6743:a62b:b0ff:fee0:145e,-,-,es,Connected,Yes,40.5585,-3.6485,Movistar service,0.9987,0.9993000000000001,0.9036,0,0
374,31427,185.110.17.85,204234,185.110.16.0/22,-,-,-,es,Connected,Yes,38.8805,-1.1115,TVAlmansa probe,0.9994,0.9998,0.9517,0,0
381,31643,193.22.119.83,29680,193.22.119.0/24,-,-,-,es,Disconnected,Yes,41.4885,2.1395,-,0.0,0.0,0.9453,9822031,113
383,31675,93.114.147.133,34977,93.114.147.0/24,-,-,-,es,Connected,Yes,36.7195,-4.4595,UTE Probe,1.0,1.0,0.9763,0,0
387,32202,95.16.6.148,12479,95.16.6.0/24,2a02:2e02:2899:b900:1ad6:c7ff:fef3:1f56,12479,2a02:2e02:2890::/4,es,Disconnected,Yes,36.8185,-2.5725,ALV-ALM,0.0,0.0,0.8162,3237215,37
