,id,address_v4,asn_v4,prefix_v4,address_v6,asn_v6,prefix_v6,country,status,is_public,latitude,longitude,description,lastWeekOn,lastMonthOn,allTimeOn
0,5,83.163.239.181,3265,83.160.0.0/14,2001:981:602b:1:220:4aff:fec8:2355,3265,2001:980::/30,es,Abandoned,Yes,36.8295,-2.4625,-,0.0,0.0,0.4447
1,47,-,20815,80.64.47.0/24,-,-,-,es,Connected,No,41.9705,2.8095,Probe-1@GRN,,,
2,147,212.49.129.251,8903,212.49.128.0/23,2001:ac0::220:4aff:febf:fd49,8903,2001:ac0::/32,es,Abandoned,Yes,40.5205,-3.6705,AS8903 BT Spain Labs,0.0,0.0,0.5101
3,155,-,-,-,-,-,-,es,Abandoned,Yes,40.4195,-3.7005,Vodafone IPv4 only,0.0,0.0,0.1757
4,179,-,-,-,-,-,-,es,Abandoned,No,40.6015,-3.9795,DEAD,,,
5,199,192.148.201.129,766,192.148.201.0/24,-,-,-,es,Abandoned,Yes,40.4515,-3.6885,RedIRIS,0.0,0.0,0.5748
6,300,-,3352,83.58.0.0/16,-,3352,2a02:9000::/23,es,Abandoned,No,40.5475,-3.6325,Movistar service,,,
7,334,88.20.5.109,3352,88.20.0.0/16,-,-,-,es,Connected,Yes,37.9895,-1.1315,Broadband home connection,0.9962000000000001,0.9944,0.6464
8,341,213.0.69.132,3352,213.0.0.0/16,2001:470:1f1d:275:220:4aff:fec8:2405,6939,2001:470::/32,es,Connected,Yes,40.5975,-3.9805,Oficina,0.9993000000000001,0.9984000000000001,0.9754999999999999
9,349,-,-,-,-,-,-,es,Abandoned,No,40.5315,-3.6305,Sarenet Service,,,
10,398,-,3352,81.35.0.0/16,-,-,-,es,Abandoned,No,41.9215,1.2015,"Casa Ponts, Josep Closa 25",,,
11,405,-,766,138.4.0.0/16,-,766,2001:720::/32,es,Abandoned,No,40.4495,-3.7325,ETSI TelecomunicaciÃ³n - Univer,,,
12,415,-,-,-,-,-,-,es,Abandoned,Yes,40.4895,-3.8725,Las Rozas,0.0,0.0,0.177
13,417,217.18.40.10,15954,217.18.32.0/20,2a01:a940:7766:1:220:4aff:fec8:25c8,15954,2a01:a940::/32,es,Connected,Yes,40.4905,-3.6925,Tecnocratica MAD1 (Ex Colgajit,0.9991,0.9991,0.607
14,448,2.138.19.48,3352,2.138.0.0/16,-,-,-,es,Abandoned,Yes,40.5915,-4.1505,JPC Pizarra Probe,0.0,0.0,0.7118000000000001
15,478,-,-,-,-,-,-,es,Abandoned,Yes,41.2815,1.9805,Casa,0.0,0.0,0.0177
16,575,217.217.130.55,6739,217.217.128.0/20,-,-,-,es,Abandoned,Yes,36.1695,-5.3495,ipv5,0.0,0.0,0.5748
17,632,-,-,-,2001:470:1f09:495:220:4aff:febf:ffaf,6939,2001:470::/32,es,Disconnected,Yes,40.5985,-3.9815,Casa,0.0,0.0,0.9540000000000001
18,640,80.67.96.65,8426,80.67.96.0/20,-,-,-,es,Abandoned,Yes,41.3575,2.1295,Claranet ES Office,0.0,0.0,0.5649000000000001
19,659,84.88.1.18,13041,84.88.0.0/16,-,-,-,es,Abandoned,Yes,41.3915,2.1095,CSUC - Anella CientÃ­fica,0.0,0.0,0.4346
20,660,-,15704,213.194.128.0/20,-,-,-,es,Abandoned,No,37.3375,-5.9295,japi,,,
21,676,-,52037,46.37.96.0/24,-,-,-,es,Abandoned,No,40.4005,-3.6795,-,,,
22,679,-,12924,213.236.12.0/23,-,-,-,es,Abandoned,No,37.3815,-5.9995,Montes Sierra,,,
23,715,-,3352,79.147.0.0/16,-,-,-,es,Connected,No,36.6995,-4.4525,Octanio Office Router,,,
24,805,-,-,-,-,-,-,es,Abandoned,No,40.5195,-3.9325,ADSL Jazztel Edu,,,
25,848,-,15810,89.107.182.0/24,-,-,-,es,Abandoned,No,40.6015,-3.7105,BBVA-TC1,,,
26,902,84.88.32.113,13041,84.88.0.0/16,-,-,-,es,Abandoned,Yes,41.2785,1.9775,i2CAT Foundation - School of T,0.0,0.0,0.3849
27,1307,147.83.206.82,13041,147.83.0.0/16,-,-,-,es,Abandoned,Yes,41.3905,2.1075,i2CAT Foundation,0.0,0.0,0.1084
28,1531,185.44.28.215,29119,185.44.28.0/22,fdbb:7440:7714:0:220:4aff:fec8:24ac,-,-,es,Connected,Yes,37.9675,-1.2215,n0p's home,1.0,0.9892,0.9716
29,2001,87.220.48.127,12479,87.220.48.0/22,-,-,-,es,Disconnected,Yes,43.3175,-1.9825,Jazztel IPv4 only,0.0,0.0,0.6689
